Question;Answer options;Units;Germany;18 - 21 years old;22-35 years old;36 - 55 years old;55- 65 years old;66 - 75 years old;male;female
How many cups of coffee do you drink a day?;Less than a cup;Percent;0,7;0,9;1,1;0,7;0,1;0,8;0,7;0,7
How many cups of coffee do you drink a day?;1 cup;Percent;19;45,4;22,5;12,3;9,5;13,9;14,1;16,5
How many cups of coffee do you drink a day?;2 cups;Percent;26;34,3;30,3;22,7;20,6;24,6;21,7;27,3
How many cups of coffee do you drink a day?;3 cups;Percent;21;13,1;24;23,8;21,8;20,3;21,2;23,4
How many cups of coffee do you drink a day?;4 cups;Percent;15;3,6;10,3;17,7;21,2;18,6;18,7;14,6
How many cups of coffee do you drink a day?;5 cups;Percent;8,3;1,2;5,8;11,7;11,1;9,2;10,9;8,2
How many cups of coffee do you drink a day?;more than 5 cups;Percent;9,8;1,4;6;11,2;15,6;12,6;12,7;9,3
How many cups of coffee do you drink a day?;average of cups of coffee;Cups;3,3;1,9;2,8;3,5;3,8;3,4;3,2;3,5
What types of coffee do you drink regularly?;Filter coffee;Percent;48,9;16,8;36,6;48,9;58,2;57,4;;
What types of coffee do you drink regularly?;Coffee from the coffee machine;Percent;33,8;22,3;36,6;39,5;30,8;25,9;;
What types of coffee do you drink regularly?;Cappuccino;Percent;32,1;53,2;40,6;32;27,7;24,3;;
What types of coffee do you drink regularly?;Latte machiato;Percent;26,4;51;39,8;28,7;19,6;11,4;;
What types of coffee do you drink regularly?;Caffè Crema;Percent;23,8;22,9;28,1;25,7;21,4;18,9;;
What types of coffee do you drink regularly?;Milchkaffee, Café au Lait, Melange, Galão;Percent;22,6;38,9;34,5;24,5;16,6;10,8;;
What types of coffee do you drink regularly?;Coffee from a capsule machine;Percent;20,9;14,6;27,2;24,2;17,2;14;;
What types of coffee do you drink regularly?;Espresso;Percent;19,2;23,3;23,4;18,8;16,9;17,7;;
What types of coffee do you drink regularly?;Instantkaffee;Percent;17,3;13,6;18,9;20,7;17,1;10,6;;
What types of coffee do you drink regularly?;Chilled coffee variation from the super market;Percent;9,5;13,8;15,2;11,1;6,9;2,8;;
What types of coffee do you drink regularly?;French press;Percent;5,8;5,4;8,2;5,9;4,9;4,3;;
What types of coffee do you drink regularly?;Decaf coffee;Percent;4,8;1,9;5,2;4,7;3,5;6,1;;
What types of coffee do you drink regularly?;Flat White;Percent;3,3;6,9;6,6;3,2;2,7;0,4;;
What types of coffee do you drink regularly?;Cold Brew;Percent;2,4;7,1;6,3;2,1;0,7;0,1;;
What types of coffee do you drink regularly?;Nitro Coffee;Percent;1,1;2,2;3,1;1;0,3;0;;
Do you drink coffee sustainably often? ;Yes, always;Percent;5,9;;;;;;;
Do you drink coffee sustainably often? ;Yes, regularly;Percent;32,6;;;;;;;
Do you drink coffee sustainably often? ;Seldom;Percent;33,2;;;;;;;
Do you drink coffee sustainably often? ;Never;Percent;13,2;;;;;;;
Do you drink coffee sustainably often? ;I don't know;Percent;15,1;;;;;;;
How did your coffee consumption change during the pandemic?;I drink less coffee since the pandemic.;Percent;5;15,2;9,3;4,4;2,6;2,4;;
How did your coffee consumption change during the pandemic?;I drink more coffee since the pandemic.;Percent;21,4;47,2;39,4;21,5;12,4;8;;
How did your coffee consumption change during the pandemic?;My coffee consumption stayed the same.;Percent;72,4;33;49,2;72,5;84,6;89,6;;
How did your coffee consumption change during the pandemic?;I don't know;Percent;1,3;4,5;2,2;1,7;0,4;0;;
